id,org_name,domain,grants_url,category,region,individual_eligible,notes,confidence,gap_flag
158,FCDO GCRF / UK Research Partnerships,ukri.org,https://www.ukri.org/what-we-do/browse-our-areas-of-investment-and-support/global-challenges-research-fund/,Bilateral Aid / Research,UK + Global South,yes,Global Challenges Research Fund; ODA-eligible research; individual PIs eligible through UK host,high,no
159,Horizon Africa,ec.europa.eu,https://ec.europa.eu/info/research-and-innovation/funding/funding-opportunities/horizon-europe/africa-initiative_en,EU Research,EU + Africa,unknown,EU-Africa research initiative; bilateral grants,medium,no
160,TWAS - The World Academy of Sciences,twas.org,https://twas.org/opportunities/grants,Academic Fellowship,Developing World,yes,Science grants for researchers in developing countries; individual-eligible; strong fit,high,no
161,CAS-TWAS - Chinese Academy of Sciences Fellowships,twas.org,https://twas.org/opportunities/fellowships,Academic Fellowship,Developing World,yes,Joint fellowships with Chinese Academy of Sciences; individual-eligible,high,no
162,Abdus Salam International Centre for Theoretical Physics (ICTP),ictp.it,https://www.ictp.it/programmes/fellowship-grants,Academic Research,Developing World,yes,Physics and mathematics; fellowships for scientists from developing countries; individual-eligible,high,no
163,AfDB African Development Fund,afdb.org,https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships/african-development-fund,Regional Dev Bank,Africa,unknown,Concessional financing arm of AfDB; primarily sovereign and institutional,medium,no
164,ADB Technical Assistance,adb.org,https://www.adb.org/what-we-do/grant/main,Regional Dev Bank,Asia-Pacific,unknown,ADB Grants Program for developing member countries; primarily government/institutional,medium,no
165,IDRC Canada - AI for Development,idrc.ca,https://idrc.ca/en/research-in-action/ai-development,Bilateral Aid / AI,Global South,yes,Specific AI for development program; individual researchers and small teams; strong fit,high,no
166,Porticus Foundation,porticus.com,https://www.porticus.com/en/funding,Global Philanthropic,Global,unknown,Catholic social development; primarily institutional; global south focus,medium,no
167,Laudes Foundation,laudesfoundation.org,https://laudesfoundation.org/grants/,Global Philanthropic,Global,unknown,Climate and fashion industry; primarily institutional,medium,no
168,Children's Investment Fund Foundation (CIFF),ciff.org,https://ciff.org/about-us/how-we-work/grants/,Global Philanthropic,Global,unknown,Child health and climate; primarily institutional,medium,no
169,Wellcome Leap,wellcomeleap.org,https://wellcomeleap.org/programs/,Health Research,Global,unknown,Health breakthrough programs; primarily institutional and team grants,medium,no
170,Open Research Fund - Open Knowledge Foundation,okfn.org,https://okfn.org/en/projects/,Open Knowledge,Global,yes,Open data and knowledge; small grants; individual-accessible; strong fit,high,no
171,Alfred P. Sloan Foundation Digital Technology Program,sloan.org,https://sloan.org/programs/digital-technology,Global Philanthropic,Global,yes,Digital technology and research; individual PI grants; strong fit,high,no
172,MacArthur 100&Change,macfound.org,https://www.macfound.org/programs/100change/,Global Philanthropic,Global,unknown,$100M single grant competition; open to organizations; individual teams with fiscal sponsor,high,no
173,Rockefeller Bellagio Center Residency,rockefellerfoundation.org,https://www.rockefellerfoundation.org/bellagio-center/residency-program/,Residency Fellowship,Global,yes,Fully funded Lake Como residency; individual-eligible; not cash grant; Rockefeller credibility,high,no
174,European Journalism Centre (EJC) Grants,ejc.net,https://ejc.net/grants,Media / Research,Global,yes,Data journalism and media grants; individual journalists and researchers,medium,no
175,IREX,irex.org,https://www.irex.org/programs,Academic Fellowship,Global,yes,International exchange and development; individual fellowship components; strong global reach,high,no
176,Fulbright Specialist Program,fulbrightspecialist.org,https://www.fulbrightspecialist.org/,Academic Fellowship,Global,yes,Short-term expert exchanges; individual US citizen eligible,high,no
177,US National Endowment for Democracy,ned.org,https://www.ned.org/apply-for-grant/,Democracy,Global,unknown,Democracy and human rights; primarily civil society organizations; some individual components,high,no
178,International Republican Institute (IRI),iri.org,https://www.iri.org/,Democracy,Global,unknown,Democracy and governance; primarily institutional,medium,no
179,NDI - National Democratic Institute,ndi.org,https://www.ndi.org/democracy-grants,Democracy,Global,unknown,Democracy support; primarily institutional,medium,no
180,TED Audacious Project,ted.com,https://audaciousproject.org/apply,Innovation,Global,unknown,Large-scale social impact; primarily institutional ideas; individual pitches with strong ideas,medium,no
181,Cipher Brief Network / Cybersecurity Research,thecipherbrief.com,https://www.thecipherbrief.com/,Cybersecurity / Policy,Global,unknown,Not a grant maker; but lists fellowships and opportunities; worth crawling,low,no
182,Belfer Center - Harvard Kennedy School,belfercenter.org,https://www.belfercenter.org/programs/fellowships,Academic Fellowship,Global,yes,Policy fellowships; individual-eligible; Cybersecurity, AI, and international security,high,no
183,Carnegie Endowment for International Peace,carnegieendowment.org,https://carnegieendowment.org/fellowships,Policy Research,Global,yes,Junior and visiting fellows; individual-eligible; global policy research,high,no
184,Brookings Institution,brookings.edu,https://www.brookings.edu/fellowships/,Policy Research,Global,yes,Visiting fellows; individual-eligible; AI governance and policy,high,no
185,Wilson Center Fellowships,wilsoncenter.org,https://www.wilsoncenter.org/fellowship-overview,Policy Research,Global,yes,Non-resident and residential fellowships; individual-eligible; strong fit,high,no
186,Stimson Center,stimson.org,https://www.stimson.org/fellowships/,Policy Research,Global,yes,Security and sustainability fellowships; individual-eligible,medium,no
187,Chatham House,chathamhouse.org,https://www.chathamhouse.org/about-us/work-us/fellowships,Policy Research,UK / Global,yes,Research fellowships; individual-eligible; Chatham House Dame Stephanie Shirley Fellowships,high,no
188,RAND Corporation Fellowships,rand.org,https://www.rand.org/about/edu_opp/fellowships.html,Policy Research,US / Global,yes,Pardee Graduate Fellowships; individual-eligible; AI and global policy,high,no
189,Oxford Internet Institute,oii.ox.ac.uk,https://www.oii.ox.ac.uk/study/doctoral-research/funding/,Academic Research,UK / Global,yes,Research grants and fellowships; individual academic researchers,high,no
190,AI Safety Support,aisafetysupport.org,https://www.aisafetysupport.org/funding,AI Safety,Global,yes,Career development and small grants for AI safety researchers; individual-eligible,high,no
191,Lightspeed Grants,lightspeedgrants.org,https://lightspeedgrants.org/,AI Safety,Global,yes,Fast individual researcher grants for AI safety; strong fit,high,no
192,Nonlinear Network,nonlinear.org,https://www.nonlinear.org/grants,AI Safety,Global,yes,Researcher support and grants; AI safety focus; individual-eligible,high,no
193,KACST - King Abdulaziz City for Science and Technology Saudi Arabia,kacst.edu.sa,https://www.kacst.edu.sa/en/s/Pages/GrantsPrograms.aspx,National Research Council,Saudi Arabia,unknown,Saudi national S&T; primarily Saudi-affiliated,medium,gap
194,Taiwan International Graduate Program (TIGP),tigp.sinica.edu.tw,https://tigp.sinica.edu.tw/,Academic Fellowship,Asia,yes,Academia Sinica Taiwan; international doctoral fellowships; individual-eligible,medium,no
195,UNESCO - L'Oreal for Women in Science,loreal.com,https://www.forwomeninscience.com/en/fellowships,Fellowship,Global,yes,Joint UNESCO/L'Oreal program; women in STEM; individual-eligible; strong fit,high,no
196,AAAS - American Association for the Advancement of Science,aaas.org,https://www.aaas.org/programs/science-technology-policy-fellowships,Academic Fellowship,US / Global,yes,AAAS Science and Technology Policy Fellowships; individual-eligible; AI policy,high,no
197,Schmidt Futures,schmidtfutures.com,https://www.schmidtfutures.com/our-work/,Global Philanthropic,Global,yes,AI, STEM, and talent development; individual fellowship components; strong fit,high,no
198,Simons Foundation,simonsfoundation.org,https://www.simonsfoundation.org/funding-opportunities/,Research,Global,yes,Mathematics, physics, life sciences; individual PI grants; some CS/AI overlap,high,no
199,Patrick McGovern Foundation AI for Social Good,mcgovern.org,https://www.mcgovern.org/apply/,Global Philanthropic,Global,unknown,Listed separately for clarity; AI + data focus; strong thematic fit,high,no
200,Global Innovation Fund,globalinnovation.fund,https://www.globalinnovation.fund/apply/,Innovation / Development,Global,yes,Innovation grants for development; $50,000–$15M range; individual innovators eligible with teams,high,no
201,Echoing Green Fellowship,echoinggreen.org,https://echoinggreen.org/fellowship/,Social Entrepreneurship,Global,yes,Fellowship for social entrepreneurs; individual-eligible; $90,000 stipend,high,no
202,Ashoka Fellows,ashoka.org,https://www.ashoka.org/en-us/program/ashoka-fellows,Social Entrepreneurship,Global,yes,Social innovation fellowship; nomination-based but open applications; individual-eligible,high,no
203,Skoll World Forum - Edge Awardees,skoll.org,https://skoll.org/skoll-world-forum/,Social Entrepreneurship,Global,unknown,Social enterprise; primarily organizational; some individual visibility,medium,no
204,Omidyar Network India,omidyarnetwork.in,https://www.omidyarnetwork.in/funding,Regional Philanthropic,India,unknown,India-specific arm; primarily early-stage organizations,medium,no
205,Mava Foundation,mavafoundation.org,https://www.mavafoundation.org/,Global Philanthropic,Global / Africa,unknown,Conservation and social-ecological systems; primarily institutional,low,no
206,Children's Climate Fund,childrensclimatefund.org,https://childrensclimatefund.org/,Climate,Global,unknown,Youth and climate; primarily institutional,low,no
207,Climate Emergency Fund,climateemergencyfund.org,https://climateemergencyfund.org/apply/,Climate,Global,yes,Climate activism grants; individual and group eligible; relatively accessible,medium,no
208,AI Governance Lab,aigovernancelab.org,https://aigovernancelab.org/,AI Governance,Global,unknown,Research and fellowship; check for current open calls,medium,no
209,Regional Innovation Fund - African Union,au.int,https://au.int/en/funding,Regional Body,Africa,unknown,African Union innovation programs; primarily institutional and state-level,medium,gap
210,ASEAN Foundation,aseanfoundation.org,https://aseanfoundation.org/programmes/grants-and-scholarships/,Regional Body,Southeast Asia,yes,ASEAN scholarships and grants; individual-eligible; strong regional fit,high,no
