id,org_name,domain,grants_url,category,region,individual_eligible,notes,confidence,gap_flag,,
151,CIFAR,cifar.ca,https://cifar.ca/fellowships-and-grants/,Research Network,Canada / Global,yes,AI and complexity research; Azrieli Global Scholars; individual-eligible; strong fit,high,no,,
152,Allen Institute for AI (AI2),allenai.org,https://allenai.org/get-involved,AI Research,Global,no,AI2 primarily institutional research partnerships; no open individual grants,medium,no,,
153,Alan Turing Institute,turing.ac.uk,https://www.turing.ac.uk/work-turing/fellowships,AI Research,UK / Global,yes,Turing Fellows program; individual-eligible; strong UK bias,high,no,,
154,Schwartz Reisman Institute,srinstitute.utoronto.ca,https://srinstitute.utoronto.ca/programs,AI Governance,Canada / Global,no,Schwartz Reisman primarily academic institutional research programs; no open individual external grants,medium,no,,
155,Montreal AI Ethics Institute,montrealethics.ai,https://montrealethics.ai/get-involved/,AI Ethics,Global,yes,MAIEI has small fellowship and grant windows for individual AI ethics researchers,medium,no,,
156,AI Now Institute,ainowinstitute.org,https://ainowinstitute.org/,AI Governance,US / Global,no,AI Now primarily research and advocacy institution; no open individual grants,medium,no,,
157,Humanity AI Initiative,humanityai.ai,https://humanityai.ai/,AI Governance,Global,no,$500M pooled fund primarily for established organizations and think tanks,high,no,,
158,FCDO GCRF / UK Research Partnerships,ukri.org,https://www.ukri.org/what-we-do/browse-our-areas-of-investment-and-support/global-challenges-research-fund/,Bilateral Aid / Research,UK + Global South,yes,Global Challenges Research Fund; ODA-eligible research; individual PIs eligible through UK host,high,no,,
159,Horizon Africa,ec.europa.eu,https://ec.europa.eu/info/research-and-innovation/funding/funding-opportunities/horizon-europe/africa-initiative_en,EU Research,EU + Africa,yes,Horizon Africa team grants; individual PIs eligible through research teams,medium,no,,
160,TWAS - The World Academy of Sciences,twas.org,https://twas.org/opportunities/grants,Academic Fellowship,Developing World,yes,Science grants for researchers in developing countries; individual-eligible; strong fit,high,no,,
161,CAS-TWAS - Chinese Academy of Sciences Fellowships,twas.org,https://twas.org/opportunities/fellowships,Academic Fellowship,Developing World,yes,Joint fellowships with Chinese Academy of Sciences; individual-eligible,high,no,,
162,Abdus Salam International Centre for Theoretical Physics (ICTP),ictp.it,https://www.ictp.it/programmes/fellowship-grants,Academic Research,Developing World,yes,Physics and mathematics; fellowships for scientists from developing countries; individual-eligible,high,no,,
163,AfDB African Development Fund,afdb.org,https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships/african-development-fund,Regional Dev Bank,Africa,no,AfDB concessional financing arm; sovereign and institutional level,medium,no,,
164,ADB Technical Assistance,adb.org,https://www.adb.org/what-we-do/grant/main,Regional Dev Bank,Asia-Pacific,no,ADB technical assistance primarily to governments and institutional partners,medium,no,,
165,IDRC Canada - AI for Development,idrc.ca,https://idrc.ca/en/research-in-action/ai-development,Bilateral Aid / AI,Global South,yes,Specific AI for development program; individual researchers and small teams; strong fit,high,no,,
166,Porticus Foundation,porticus.com,https://www.porticus.com/en/funding,Global Philanthropic,Global,no,Porticus primarily funds established organizations; no individual applications,medium,no,,
167,Laudes Foundation,laudesfoundation.org,https://laudesfoundation.org/grants/,Global Philanthropic,Global,no,Laudes Foundation primarily institutional organizations in fashion/climate,medium,no,,
168,Children's Investment Fund Foundation (CIFF),ciff.org,https://ciff.org/about-us/how-we-work/grants/,Global Philanthropic,Global,no,CIFF primarily institutional; no open individual applications,medium,no,,
169,Wellcome Leap,wellcomeleap.org,https://wellcomeleap.org/programs/,Health Research,Global,no,Wellcome Leap programs primarily team-based institutional challenges,medium,no,,
170,Open Research Fund - Open Knowledge Foundation,okfn.org,https://okfn.org/en/projects/,Open Knowledge,Global,yes,Open data and knowledge; small grants; individual-accessible; strong fit,high,no,,
171,Alfred P. Sloan Foundation Digital Technology Program,sloan.org,https://sloan.org/programs/digital-technology,Global Philanthropic,Global,yes,Digital technology and research; individual PI grants; strong fit,high,no,,
172,MacArthur 100&Change,macfound.org,https://www.macfound.org/programs/100change/,Global Philanthropic,Global,yes,MacArthur 100&Change individual teams with fiscal sponsor can apply,high,no,,
173,Rockefeller Bellagio Center Residency,rockefellerfoundation.org,https://www.rockefellerfoundation.org/bellagio-center/residency-program/,Residency Fellowship,Global,yes,Fully funded Lake Como residency; individual-eligible; not cash grant; Rockefeller credibility,high,no,,
174,European Journalism Centre (EJC) Grants,ejc.net,https://ejc.net/grants,Media / Research,Global,yes,Data journalism and media grants; individual journalists and researchers,medium,no,,
175,IREX,irex.org,https://www.irex.org/programs,Academic Fellowship,Global,yes,International exchange and development; individual fellowship components; strong global reach,high,no,,
176,Fulbright Specialist Program,fulbrightspecialist.org,https://www.fulbrightspecialist.org/,Academic Fellowship,Global,yes,Short-term expert exchanges; individual US citizen eligible,high,no,,
177,US National Endowment for Democracy,ned.org,https://www.ned.org/apply-for-grant/,Democracy,Global,yes,NED civil society and individual researcher grants; some open call components,high,no,,
178,International Republican Institute (IRI),iri.org,https://www.iri.org/,Democracy,Global,no,IRI primarily institutional democracy support; not individual grants,medium,no,,
179,NDI - National Democratic Institute,ndi.org,https://www.ndi.org/democracy-grants,Democracy,Global,no,NDI primarily institutional democracy support; not individual researcher grants,medium,no,,
180,TED Audacious Project,ted.com,https://audaciousproject.org/apply,Innovation,Global,yes,TED Audacious Project accepts applications from individual-led initiatives with or without organizational backing,medium,no,,
181,Cipher Brief Network / Cybersecurity Research,thecipherbrief.com,https://www.thecipherbrief.com/,Cybersecurity / Policy,Global,no,Not a grant-maker; opportunity listing resource only,low,no,,
182,Belfer Center - Harvard Kennedy School,belfercenter.org,https://www.belfercenter.org/programs/fellowships,Academic Fellowship,Global,yes,Policy fellowships; individual-eligible; Cybersecurity, AI, and international security,no,no
183,Carnegie Endowment for International Peace,carnegieendowment.org,https://carnegieendowment.org/fellowships,Policy Research,Global,yes,Junior and visiting fellows; individual-eligible; global policy research,high,no,,
184,Brookings Institution,brookings.edu,https://www.brookings.edu/fellowships/,Policy Research,Global,yes,Visiting fellows; individual-eligible; AI governance and policy,high,no,,
185,Wilson Center Fellowships,wilsoncenter.org,https://www.wilsoncenter.org/fellowship-overview,Policy Research,Global,yes,Non-resident and residential fellowships; individual-eligible; strong fit,high,no,,
186,Stimson Center,stimson.org,https://www.stimson.org/fellowships/,Policy Research,Global,yes,Security and sustainability fellowships; individual-eligible,medium,no,,
187,Chatham House,chathamhouse.org,https://www.chathamhouse.org/about-us/work-us/fellowships,Policy Research,UK / Global,yes,Research fellowships; individual-eligible; Chatham House Dame Stephanie Shirley Fellowships,high,no,,
188,RAND Corporation Fellowships,rand.org,https://www.rand.org/about/edu_opp/fellowships.html,Policy Research,US / Global,yes,Pardee Graduate Fellowships; individual-eligible; AI and global policy,high,no,,
189,Oxford Internet Institute,oii.ox.ac.uk,https://www.oii.ox.ac.uk/study/doctoral-research/funding/,Academic Research,UK / Global,yes,Research grants and fellowships; individual academic researchers,high,no,,
190,AI Safety Support,aisafetysupport.org,https://www.aisafetysupport.org/funding,AI Safety,Global,yes,Career development and small grants for AI safety researchers; individual-eligible,high,no,,
191,Lightspeed Grants,lightspeedgrants.org,https://lightspeedgrants.org/,AI Safety,Global,yes,Fast individual researcher grants for AI safety; strong fit,high,no,,
192,Nonlinear Network,nonlinear.org,https://www.nonlinear.org/grants,AI Safety,Global,yes,Researcher support and grants; AI safety focus; individual-eligible,high,no,,
193,KACST - King Abdulaziz City for Science and Technology Saudi Arabia,kacst.edu.sa,https://www.kacst.edu.sa/en/s/Pages/GrantsPrograms.aspx,National Research Council,Saudi Arabia,yes,Saudi-affiliated individual researchers/PIs eligible; primarily Saudi-based,medium,gap,,
194,Taiwan International Graduate Program (TIGP),tigp.sinica.edu.tw,https://tigp.sinica.edu.tw/,Academic Fellowship,Asia,yes,Academia Sinica Taiwan; international doctoral fellowships; individual-eligible,medium,no,,
195,UNESCO - L'Oreal for Women in Science,loreal.com,https://www.forwomeninscience.com/en/fellowships,Fellowship,Global,yes,Joint UNESCO/L'Oreal program; women in STEM; individual-eligible; strong fit,high,no,,
196,AAAS - American Association for the Advancement of Science,aaas.org,https://www.aaas.org/programs/science-technology-policy-fellowships,Academic Fellowship,US / Global,yes,AAAS Science and Technology Policy Fellowships; individual-eligible; AI policy,high,no,,
197,Schmidt Futures,schmidtfutures.com,https://www.schmidtfutures.com/our-work/,Global Philanthropic,Global,yes,AI, STEM, and talent development; individual fellowship components; strong fit,no,no
198,Simons Foundation,simonsfoundation.org,https://www.simonsfoundation.org/funding-opportunities/,Research,Global,yes,Mathematics, physics, life sciences; individual PI grants; some CS/AI overlap,no,no
199,Patrick McGovern Foundation AI for Social Good,mcgovern.org,https://www.mcgovern.org/apply/,Global Philanthropic,Global,no,"Same entity as ID 102 McGovern Foundation; relationship-driven, not open individual applications",high,no,,
200,Global Innovation Fund,globalinnovation.fund,https://www.globalinnovation.fund/apply/,Innovation / Development,Global,yes,Innovation grants for development; $50,000–$15M range; individual innovators eligible with teams,high,,
201,Echoing Green Fellowship,echoinggreen.org,https://echoinggreen.org/fellowship/,Social Entrepreneurship,Global,yes,Fellowship for social entrepreneurs; individual-eligible; $90,000 stipend,high,,
202,Ashoka Fellows,ashoka.org,https://www.ashoka.org/en-us/program/ashoka-fellows,Social Entrepreneurship,Global,yes,Social innovation fellowship; nomination-based but open applications; individual-eligible,high,no,,
203,Skoll World Forum - Edge Awardees,skoll.org,https://skoll.org/skoll-world-forum/,Social Entrepreneurship,Global,no,Skoll World Forum primarily organizational social enterprises,medium,no,,
204,Omidyar Network India,omidyarnetwork.in,https://www.omidyarnetwork.in/funding,Regional Philanthropic,India,no,Omidyar India primarily early-stage organizations; not individual researchers,medium,no,,
205,Mava Foundation,mavafoundation.org,https://www.mavafoundation.org/,Global Philanthropic,Global / Africa,no,Mava Foundation primarily institutional conservation organizations,low,no,,
206,Children's Climate Fund,childrensclimatefund.org,https://childrensclimatefund.org/,Climate,Global,no,Children's Climate Fund primarily institutional partnerships,low,no,,
207,Climate Emergency Fund,climateemergencyfund.org,https://climateemergencyfund.org/apply/,Climate,Global,yes,Climate activism grants; individual and group eligible; relatively accessible,medium,no,,
208,AI Governance Lab,aigovernancelab.org,https://aigovernancelab.org/,AI Governance,Global,unknown,Research and fellowship; check for current open calls,medium,no,,
209,Regional Innovation Fund - African Union,au.int,https://au.int/en/funding,Regional Body,Africa,no,African Union innovation programs at state and institutional level; not direct individual grants,medium,gap,,
210,ASEAN Foundation,aseanfoundation.org,https://aseanfoundation.org/programmes/grants-and-scholarships/,Regional Body,Southeast Asia,yes,ASEAN scholarships and grants; individual-eligible; strong regional fit,high,no,,
211,AAS - African Academy of Sciences,aasciences.africa,https://www.aasciences.africa/programmes,Pan-African Research Body,Africa,yes,APTI (African Postdoctoral Training Initiative); ARISE (African Research Initiative for Scientific Excellence); SSHA research capacity grants; individual-eligible; strong fit,high,no,,
212,ARISE - African Research Initiative for Scientific Excellence,aasciences.africa,https://www.aasciences.africa/arise,Pan-African Research Body,Africa,yes,EU-funded through AAS; postdoctoral fellowships for African researchers; individual-eligible; strong fit,high,no,,
213,CODESRIA - Council for the Development of Social Science Research in Africa,codesria.org,https://codesria.org/grants-and-fellowships/,Pan-African Research Body,Africa,yes,Dakar-based; social sciences research grants and fellowships; explicitly individual-eligible; decades of track record; strong fit,high,no,,
214,AUDA-NEPAD - African Union Development Agency,nepad.org,https://www.nepad.org/grant-opportunities,Pan-African Regional Body,Africa,no,AUDA-NEPAD primarily institutional and government-level programs,high,no,,
215,Pan African University - African Union,pau.africa,https://pau.africa/calls/,Pan-African Regional Body,Africa,yes,AU-wide doctoral and postdoctoral program; individual-eligible; fully funded; hosted across five African hub universities; strong fit,high,no,,
216,African Development Foundation,adf.gov,https://www.adf.gov/apply/,Pan-African / US-Funded,Africa,yes,US government agency funding African grassroots organizations and individuals; individual and community groups explicitly eligible; strong fit,high,no,,
217,WASCAL - West African Science Service Centre on Climate Change,wascal.org,https://www.wascal.org/,Regional Research Body,West Africa,yes,Graduate research program; fellowships for West African researchers; climate focus; individual-eligible,high,no,,
218,RUFORUM - Regional Universities Forum for Capacity Building in Agriculture,ruforum.org,https://www.ruforum.org/grants,Regional Research Network,Eastern & Southern Africa,yes,Agriculture and food systems; graduate fellowships and small grants; individual researcher grants,high,no,,
219,ICIPE - International Centre of Insect Physiology and Ecology,icipe.org,https://www.icipe.org/research/fellowships,CGIAR / International Research,Africa,yes,Nairobi-based; African Biosciences Fellowship Programme; individual-eligible,high,no,,
220,IITA - International Institute of Tropical Agriculture,iita.org,https://www.iita.org/fellowships/,CGIAR / International Research,Sub-Saharan Africa,yes,Nigeria-based; postdoctoral and visiting scientist fellowships; Africa-focused; individual-eligible,high,no,,
221,ILRI - International Livestock Research Institute,ilri.org,https://www.ilri.org/research/fellowships,CGIAR / International Research,East Africa,yes,Nairobi-based; postdoctoral research fellowships; livestock and food systems; individual-eligible,high,no,,
222,WorldFish Center,worldfishcenter.org,https://www.worldfishcenter.org/research/fellowships,CGIAR / International Research,Asia & Africa,yes,Penang-based; fisheries and aquaculture; research fellowships; individual-eligible,medium,no,,
223,ICRISAT - International Crops Research Institute for the Semi-Arid Tropics,icrisat.org,https://www.icrisat.org/fellowships/,CGIAR / International Research,South Asia & West Africa,yes,Hyderabad-based; semi-arid tropics; visiting scientist and fellowship programs; individual-eligible,high,no,,
224,IWMI - International Water Management Institute,iwmi.cgiar.org,https://www.iwmi.cgiar.org/about/fellowships/,CGIAR / International Research,South Asia & Africa,yes,Colombo-based; water management; postdoctoral fellowships; individual-eligible,high,no,,
225,IRRI - International Rice Research Institute,irri.org,https://www.irri.org/work-with-us/fellowships,CGIAR / International Research,Southeast Asia,yes,Philippines-based; rice systems; IRRI-Rockefeller fellowships; individual-eligible; strong fit,high,no,,
226,CIMMYT - International Maize and Wheat Improvement Center,cimmyt.org,https://www.cimmyt.org/careers/fellowships/,CGIAR / International Research,Latin America & Africa,yes,Mexico-based; maize and wheat; visiting scientist grants; individual-eligible,high,no,,
227,Alliance Bioversity-CIAT,alliancebioversity.org,https://alliancebioversity.org/what-we-do/fellowships/,CGIAR / International Research,Latin America & Africa,yes,Bioversity and CIAT merged; biodiversity and food systems research fellowships,medium,no,,
228,CLACSO - Latin American Council of Social Sciences,clacso.org,https://www.clacso.org/becas-y-subsidios/,Pan-Latin American Research Body,Latin America & Caribbean,yes,Buenos Aires-based; social sciences grants and fellowships; individual-eligible; decades of track record; English-language calls exist; strong fit,high,no,,
229,FLACSO - Latin American Faculty of Social Sciences,flacso.org,https://www.flacso.org/convocatorias,Pan-Latin American Research Body,Latin America,yes,Research fellowships and grants; social sciences focus; individual-eligible; regional and national chapters,high,no,,
230,CYTED - Ibero-American Programme for Science and Technology for Development,cyted.org,https://cyted.org/convocatorias/,Pan-Latin American Research Body,Latin America + Spain/Portugal,yes,Bilateral and multilateral research networks; Ibero-American researcher mobility; individual-eligible components,high,no,,
231,CAPES - Coordination for the Improvement of Higher Education Personnel Brazil,capes.gov.br,https://www.capes.gov.br/bolsas/bolsas-no-exterior,National Research Body,Brazil,yes,Brazilian federal higher education agency; international fellowship programs; individual-eligible; separate from CNPq,high,no,,
232,FAPESP - São Paulo State Research Foundation,fapesp.br,https://fapesp.br/oportunidades/,National Research Body,Brazil (São Paulo),yes,State-level but major funder; individual researcher grants; FAPESP-SPRINT international collaboration; strong fit; accessible to non-Brazilians in collaboration mode,high,no,,
233,FAPERJ - Rio de Janeiro State Research Foundation,faperj.br,https://www.faperj.br/?id=2.2.3,National Research Body,Brazil (Rio de Janeiro),yes,State-level; individual researcher grants; smaller but active,medium,no,,
234,SENACYT - National Secretariat of Science Technology and Innovation Panama,senacyt.gob.pa,https://www.senacyt.gob.pa/convocatorias/,National Research Council,Panama,yes,Central American national funder; individual researcher grants; English-language calls sometimes,medium,gap,,
235,CONICIT - National Council for Scientific and Technological Research Costa Rica,conicit.go.cr,https://www.conicit.go.cr/convocatorias.html,National Research Council,Costa Rica,yes,Costa Rican national science council; individual researcher grants,medium,gap,,
236,SENACYT - National Secretariat of Science Technology and Innovation Guatemala,senacyt.gob.gt,https://www.senacyt.gob.gt/convocatorias/,National Research Council,Guatemala,yes,Guatemalan national science body; individual grants,medium,gap,,
237,IANAS - Inter-American Network of Academies of Sciences,ianas.org,https://www.ianas.org/opportunities/,Pan-Americas Research Body,Americas,yes,Network of national academies; research exchange programs; individual-eligible,medium,no,,
238,MERCOSUR RECYT - Meeting of Ministers of Science and Technology,mercosur.int,https://www.mercosur.int/temas/ciencia-tecnologia-e-innovacion/,Regional Body,Southern Latin America,no,Ministerial coordination body; no direct individual researcher grants,medium,gap,,
239,SEAMEO - Southeast Asian Ministers of Education Organization,seameo.org,https://www.seameo.org/Main_Programme/,Regional Research Body,Southeast Asia,yes,Bangkok-based; regional education and research grants; SEAMEO-RETRAC research center; individual-eligible components; strong fit,high,no,,
240,APN - Asia-Pacific Network for Global Change Research,apn-gcr.org,https://www.apn-gcr.org/calls/,Regional Research Body,Asia-Pacific,yes,Kobe-based; climate change research grants; individual-eligible; explicitly Global South focused; strong fit,high,no,,
241,APCICT - Asia-Pacific Training Centre for ICT for Development,unapcict.org,https://www.unapcict.org/,UN ESCAP / Regional,Asia-Pacific,yes,UN ESCAP arm; ICT and digital development training and research; individual-eligible components,high,no,,
242,SAARC - South Asian Association for Regional Cooperation Science Programs,saarc-sec.org,https://www.saarc-sec.org/areaofcooperation/detail.php?activity_id=23,Regional Body,South Asia,no,Intergovernmental coordination; no direct individual grants currently active,medium,gap,,
243,BIMSTEC - Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation,bimstec.org,https://www.bimstec.org/programme/science-and-technology/,Regional Body,South Asia + Southeast Asia,no,Intergovernmental cooperation framework; no direct individual research grants,medium,gap,,
244,IORA - Indian Ocean Rim Association,iora.int,https://www.iora.int/en/programmes/academics-and-researchers,Regional Body,Indian Ocean Rim,yes,Research grants and academic fellowships; individual-eligible; underrepresented source; strong fit,high,no,,
245,Pacific Community (SPC),spc.int,https://www.spc.int/our-work/grants,Regional Research Body,Pacific Islands,yes,Pacific Community (SPC) has research and community grants for Pacific Island researchers and groups,high,no,,
246,SPREP - Secretariat of the Pacific Regional Environment Programme,sprep.org,https://www.sprep.org/funding-and-grants,Regional Research Body,Pacific Islands,yes,SPREP Small Grants Programme for Pacific environmental researchers and community groups,high,no,,
247,University of the South Pacific Research Office,usp.ac.fj,https://www.usp.ac.fj/research/funding-opportunities/,Academic Research,Pacific Islands,yes,USP-wide research grants; Pacific-based researcher fellowships; individual-eligible,medium,gap,,
248,Pacific Islands Forum Secretariat,forumsec.org,https://www.forumsec.org/,Regional Body,Pacific Islands,no,Political coordination body; no direct research grant program for individuals,medium,gap,,
249,NSFC - National Natural Science Foundation of China,nsfc.gov.cn,https://www.nsfc.gov.cn/english/site_1/international/D5/index.html,National Research Council,China / Global,yes,Research Fund for International Scientists explicitly open to non-Chinese researchers; strong fit; underrepresented source,high,no,,
250,CAS PIFI - Chinese Academy of Sciences President's International Fellowship Initiative,cas.cn,https://www.cas.cn/english/international/Fellowships/,Academic Fellowship,China / Global,yes,CAS international fellowships for visiting scientists; individual-eligible; underrepresented source; strong fit,high,no,,
251,China Scholarship Council (CSC),csc.edu.cn,https://www.csc.edu.cn/studyabroad,National Research Body,China / Global,yes,Chinese government scholarships for international students and researchers; individual-eligible; widely underrepresented in Western databases,high,no,,
252,DBT - Department of Biotechnology India,dbtindia.gov.in,https://dbtindia.gov.in/schemes-programmes/research-development,National Research Council,India,yes,Indian national biotechnology funder; individual researcher grants; separate from DST,high,no,,
253,ICMR - Indian Council of Medical Research,icmr.gov.in,https://www.icmr.gov.in/grant-fellowship.html,National Research Council,India,yes,Indian medical research council; individual fellowship and grant programs,high,no,,
254,CSIR - Council of Scientific and Industrial Research India,csir.res.in,https://www.csir.res.in/funding,National Research Council,India,yes,Indian industrial and scientific research; CSIR-JRF and SRF fellowships; individual-eligible; strong fit,high,no,,
255,DST INSPIRE India - Innovation in Science Pursuit for Inspired Research,inspire-dst.gov.in,https://www.inspire-dst.gov.in/fellowship.html,National Research Council,India,yes,Individual researcher fellowship program; DST program for early-career scientists; strong fit,high,no,,
256,Infosys Science Foundation,infosys-science-foundation.com,https://www.infosys-science-foundation.com/prize/,Indian Philanthropic,India / Global,yes,Annual prizes and fellowships; India-based philanthropic; individual-eligible; recognition + cash,medium,no,,
257,Azim Premji University Research Grants,azimpremjiuniversity.edu.in,https://azimpremjiuniversity.edu.in/research-grants,Indian Academic / Philanthropic,India,yes,Education and development research; individual researcher grants; India-based but broader scope,medium,no,,
258,TATA Trusts Research Program,tatatrusts.org,https://www.tatatrusts.org/our-work/grants-and-fellowships,Indian Philanthropic,India,yes,Fellowships and grants; individual-eligible components; education, health, livelihoods,no,no
259,ISESCO - Islamic World Educational Scientific and Cultural Organization,isesco.org.ma,https://www.isesco.org.ma/grants-and-fellowships/,Islamic World Regional Body,OIC Member States,yes,OIC cultural/scientific body; fellowships for researchers from Islamic world; individual-eligible; strong fit,high,no,,
260,COMSTECH - Standing Committee on Scientific and Technological Cooperation of OIC,comstech.org,https://www.comstech.org/grants/,Islamic World Regional Body,OIC Member States,yes,OIC science cooperation body; research grants and fellowships; individual-eligible; underrepresented source; strong fit,high,no,,
261,ASTF - Arab Science and Technology Foundation,astf.net,https://www.astf.net/grants,Arab World Regional Body,Arab States,yes,Arab science funder; individual researcher grants; Arab world focus; underrepresented source,high,no,,
262,ALECSO - Arab League Educational Cultural and Scientific Organization,alecso.org,https://www.alecso.org/nsite/en/grants,Arab World Regional Body,Arab States,yes,UNESCO-equivalent for Arab world; fellowship and prize programs for individual Arab researchers; Arabic primary,medium,gap,,
263,SESAME - Synchrotron-light for Experimental Science and Applications in the Middle East,sesame.org.jo,https://www.sesame.org.jo/sesame/opportunities,Regional Research Body,Middle East,yes,Jordan-based; CERN-equivalent for Middle East; beamtime and research grants; individual researcher access; strong fit,high,no,,
264,MBZUAI - Mohamed bin Zayed University of Artificial Intelligence,mbzuai.ac.ae,https://mbzuai.ac.ae/research/fellowships/,AI Research / Gulf,UAE,yes,UAE-based AI university; research fellowships and grants; explicitly AI focus; individual-eligible; strong fit,high,no,,
265,KAUST - King Abdullah University of Science and Technology,kaust.edu.sa,https://www.kaust.edu.sa/en/research/grants,Academic Research / Gulf,Saudi Arabia,yes,Saudi Arabia-based; KAUST Discovery Grants; individual PI grants; international researchers eligible; strong fit,high,no,,
266,HBKU - Hamad Bin Khalifa University Research,hbku.edu.qa,https://www.hbku.edu.qa/en/research,Academic Research / Gulf,Qatar,yes,Qatar-based; research grants and fellowships; AI and data science programs; individual-eligible,high,no,,
267,Khalifa University Research Grants,ku.ac.ae,https://www.ku.ac.ae/research/research-grants,Academic Research / Gulf,UAE,yes,UAE-based; research grants for affiliated and external researchers; STEM focus,medium,no,,
268,AFAC - Arab Fund for Arts and Culture,arabculturefund.org,https://www.arabculturefund.org/Grants.aspx,Arab Cultural / Research,Arab States,yes,Arab arts and social research grants; individual-eligible; underrepresented source,high,no,,
269,IBSA Fund - India Brazil South Africa Facility for Poverty and Hunger Alleviation,ibsa-fund.org,https://www.ibsa-fund.org/apply,South-South Cooperation,Developing World,no,IBSA Fund intergovernmental South-South cooperation; not direct individual grants,medium,no,,
270,UNOSSC - UN Office for South-South Cooperation,unsouthsouth.org,https://www.unsouthsouth.org/about/funding/,UN / South-South,Global South,no,UNOSSC facilitates institutional South-South cooperation; not direct individual grants,medium,no,,
271,Brazil ABC - Brazilian Cooperation Agency,abc.gov.br,https://www.abc.gov.br/cooperacaotecnica/projetos,South-South Cooperation,South-South,no,Government-to-government technical cooperation; not accessible to independent individuals,medium,gap,,
272,TIKA - Turkish Cooperation and Coordination Agency,tika.gov.tr,https://www.tika.gov.tr/en/pages/scholarships,South-South Cooperation,Global South,yes,Turkish development cooperation; scholarship programs for individuals from developing countries; individual-eligible,medium,no,,
273,SCO - Shanghai Cooperation Organisation Science Programs,sectsco.org,https://www.sectsco.org/EN/show.asp?id=97,Regional Body,Central & South Asia,no,Intergovernmental SCO framework; no direct individual grant program,medium,gap,,
274,ECO Science Foundation - Economic Cooperation Organization,ecosf.org,https://www.ecosf.org/grants,Regional Body,Central Asia + Iran + Turkey + Pakistan,yes,ECO Science Foundation; research grants and fellowships for ECO member states; individual-eligible; strong fit; very underrepresented,high,no,,
275,Türk Akademisi - Turkish World Academy of Sciences,turkakad.org,https://www.turkakad.org/en/call-for-proposals,Regional Body,Turkic World,yes,Turkic world academy; research grants and prizes for Turkic-world individual researchers,medium,gap,,
276,South Centre - Research Grants,southcentre.int,https://www.southcentre.int/opportunities/,South-South Think Tank,Global South,yes,Geneva-based developing country think tank; research grants for developing country scholars; individual-eligible; strong fit,high,no,,
277,CIS Interstate Fund for Humanitarian Cooperation,cishumanitarian.ru,https://www.cishumanitarian.ru/en/grants,Regional Body,CIS / Post-Soviet,yes,Cultural and educational individual grants for CIS country residents; check current program status,low,gap,,
278,Romanian UEFISCDI - Executive Agency for Higher Education Research Development and Innovation Funding,uefiscdi.gov.ro,https://uefiscdi.gov.ro/open-calls,National Research Council,Romania,yes,Romanian national research funder; individual PI grants; bilateral international cooperation programs,high,no,,
279,Hungarian NKFIH - National Research Development and Innovation Office,nkfih.gov.hu,https://nkfih.gov.hu/english,National Research Council,Hungary,yes,Hungarian national science funder; individual researcher grants; Postdoctoral Excellence Program,high,no,,
280,Bulgarian NSF - National Science Fund,bnsf.bg,https://www.bnsf.bg/en/projects-calls,National Research Council,Bulgaria,yes,Bulgarian national science funder; individual grants and team projects,high,no,,
281,Serbian Science Fund,fondzanauku.rs,https://fondzanauku.rs/pozivi/,National Research Council,Serbia,yes,Serbian research fund; individual researcher grants; IDEAS and PRISMA programs,high,no,,
282,Estonian Research Council,etag.ee,https://www.etag.ee/en/funding/,National Research Council,Estonia,yes,Estonian national funder; individual researcher grants; mobility grants for international researchers,high,no,,
283,Latvian Council of Science,lzp.gov.lv,https://www.lzp.gov.lv/en/calls-for-proposals/,National Research Council,Latvia,yes,Latvian science funder; individual researcher grants,high,no,,
284,Lithuanian Research Council,lmt.lt,https://www.lmt.lt/en/calls/,National Research Council,Lithuania,yes,Lithuanian research funder; individual grants; bilateral cooperation programs,high,no,,
285,Slovenian Research and Innovation Agency (ARIS),aris.si,https://www.aris.si/en/calls-for-proposals/,National Research Council,Slovenia,yes,Slovenian national funder; individual PI and team grants; international cooperation windows,high,no,,
286,Croatian Science Foundation,hrzz.hr,https://hrzz.hr/en/funding/open-calls/,National Research Council,Croatia,yes,Croatian national science funder; individual researcher grants; IP and UIP programs,high,no,,
287,Ukrainian NAS Research Funds,nas.gov.ua,https://www.nas.gov.ua/UA/Messages/Pages/default.aspx,National Research Council,Ukraine,yes,Historically individual-eligible; status uncertain due to 2022 war; international support programs active for Ukrainian researchers,medium,gap,,
288,WIPO GREEN Technology Transfer,wipo.int,https://www3.wipo.int/wipogreen/en/,International IP / Dev,Global South,no,"WIPO GREEN is technology matching platform, not a grant-making program",medium,no,,
289,ANSTI - African Network of Scientific and Technological Institutions,ansti.org,https://www.ansti.org/opportunities/,Pan-African Research Network,Africa,yes,UNESCO-linked; African research network; individual fellowship and mobility grants; underrepresented source,high,no,,
290,TWAS Research Grants Program,twas.org,https://twas.org/opportunities/grants/research-grants-programme,Academic Fellowship,Developing World,yes,Grants specifically for researchers in developing countries to purchase scientific equipment; individual-eligible; strong fit,high,no,,
291,TWAS-CSIR Postdoctoral Fellowships,twas.org,https://twas.org/opportunity/twas-csir-postdoctoral-fellowship-programme,Academic Fellowship,Developing World,yes,TWAS-India CSIR joint fellowship; individual-eligible; strong fit,high,no,,
